from,to,relationship
124,1,1
123,2,1
33,3,1
34,4,1
125,5,1
55,12,2
35,14,2
124,13,2
123,11,2
33,11,2
34,12,2
125,15,2
75,69,2
76,69,2
78,69,2
79,69,2
68,69,2
79,81,2
80,86,2
80,85,2
82,11,2
83,11,2
84,11,2
87,11,2
88,11,2
80,89,2
80,90,2
98,11,2
91,11,2
91,94,1
95,11,2
96,11,2
97,11,2
93,12,1
89,92,1
99,100,1
101,11,2
102,11,2
103,13,1
104,12,2
105,13,2
106,13,2
107,13,2
108,13,2
109,13,2
110,11,2
102,111,1
63,64,2
62,12,2
59,60,2
50,61,1
68,72,1
19,45,2
19,51,2
21,46,2
22,54,2
20,55,2
28,55,2
20,53,2
26,48,2
19,47,2
19,43,2
20,44,2
20,39,2
19,49,2
24,56,2
24,55,2
27,32,2
23,30,2
17,37,2
25,31,2
18,41,2
18,42,2
112,36,2
113,38,2
11,33,2
12,34,2
14,35,2
19,40,2
19,50,2
8,52,1
120,52,2
12,114,2
12,115,2
12,116,2
12,118,2
119,117,2
12,121,2
122,121,1
71,70,2
73,70,2
65,3,1
74,13,2
80,127,2
128,1,1
128,19,2
130,129,2
130,1,1
131,12,2
132,1,1
132,133,2
134,11,2
134,135,1
101,135,1
135,11,1
135,12,1
135,16,1
136,11,2
136,135,1
137,135,1
137,11,2
138,11,2
138,135,1
139,135,1
139,11,2
124,16,2
140,3,1
140,14,2
141,80,2
141,126,1
142,12,2
143,8,1
144,8,1
145,8,1
143,146,2
144,146,2
145,146,2
147,80,2
147,126,1
148,3,1
150,8,1
150,149,2
151,126,1
151,15,2
76,12,2
152,3,1
152,14,2
153,2,1
153,154,2
155,126,1
155,80,2
156,154,2
157,154,2
158,154,2
159,154,2
